sample_id,width,temp,contact,neighbor,contact_no,lambda,cm_adhesion,total_area,equivalent_diameter,eccentricity,solidity,perimeter,circularity
0,4,26.23828125,15.35546875,2,7,3.5891608902322973,43.30078125,34723.333333333336,210.26365334891403,0.12881129271892866,0.9844352085488252,734.2852808073741,0.8093593473181869
1,10,26.23828125,15.35546875,2,7,3.5891608902322973,43.30078125,186573.66666666666,487.39402817058635,0.08911662118798225,0.9949701014078737,1633.9870199032914,0.8781423074251404
2,4,9.69921875,15.35546875,2,7,3.5891608902322973,43.30078125,41156.0,228.91095550472008,0.1561823453424812,0.9865244628666586,791.5189027078676,0.8254960349220051
4,4,26.23828125,15.35546875,5,7,3.5891608902322973,43.30078125,29234.555555555555,192.92982580970315,0.18280653635275887,0.9838301361492395,677.572357962549,0.8002511330036417
5,4,26.23828125,15.35546875,2,6,3.5891608902322973,43.30078125,59191.666666666664,274.5240210758962,0.14826443144676094,0.9855576020034736,949.8486365029395,0.8244696857636167
6,4,26.23828125,15.35546875,2,7,7.560930915180215,43.30078125,82609.0,324.3152231929927,0.103620947600172,0.9912716251475177,1104.1896736927517,0.8514350279628751
7,4,26.23828125,15.35546875,2,7,3.5891608902322973,44.06640625,36547.22222222222,215.71143955828146,0.19345925349402998,0.9847998293927215,753.1775567264907,0.8096096373949018
8,10,9.69921875,41.00390625,5,6,7.560930915180215,44.06640625,195466.55555555556,498.8744810926668,0.08523494352421981,0.9862811165279834,1745.8483875342913,0.8058804538640063
9,17,62.73828125,39.85546875,5,4,0.2537920004252804,18.80078125,174753.44444444444,471.7020143506765,0.1440511954958638,0.9321829678582403,2939.087299360334,0.25630228394401566
10,23,62.73828125,39.85546875,5,4,0.2537920004252804,18.80078125,183681.44444444444,483.6015039757106,0.24844745590963813,0.9264819226243165,2878.822091765678,0.2787680842790634
11,17,46.19921875,39.85546875,5,4,0.2537920004252804,18.80078125,175024.88888888888,472.06837387877954,0.14266346294759297,0.9282034457879885,3015.336036701863,0.24338006758958602
12,17,62.73828125,16.50390625,5,4,0.2537920004252804,18.80078125,183117.55555555556,482.85859639824986,0.13464962203741598,0.9777901769360364,1944.5490806096823,0.6086515588248529
13,17,62.73828125,39.85546875,2,4,0.2537920004252804,18.80078125,175693.11111111112,472.96838761204305,0.1282456105666209,0.9135919097158222,3766.3518329702742,0.15830298407016313
14,17,62.73828125,39.85546875,5,3,0.2537920004252804,18.80078125,184587.11111111112,484.7922195230371,0.13397963362612852,0.9449834341657883,2742.695845272559,0.3086721031667754
15,17,62.73828125,39.85546875,5,4,0.534638552220694,18.80078125,183123.44444444444,482.8663146098449,0.14463847156942075,0.9384438490113293,2829.989600204659,0.28752316021039404
16,17,62.73828125,39.85546875,5,4,0.2537920004252804,19.56640625,174714.55555555556,471.6496200634626,0.15102393050421437,0.9371222816184035,2713.969606755829,0.29957558901151676
17,23,46.19921875,16.50390625,2,3,0.534638552220694,19.56640625,193625.66666666666,496.51972586296023,0.24695693121664838,0.9736513119569865,1950.817422844588,0.6394735227207851
